target_id,t_sim,x,y,z
CUBE_1,38.537,-119.999992,0.000000,-26.895391
CUBE_3,38.747,-39.466454,1.751060,-34.713455
CUBE_1,38.766,-119.999992,0.000000,-25.519709
CUBE_3,38.980,-35.736889,1.751060,-34.713455
CUBE_1,38.983,-119.999992,0.000000,-24.219213
CUBE_3,39.195,-32.304695,1.751060,-34.713455
CUBE_1,39.204,-119.999992,0.000000,-22.890982
CUBE_3,39.476,-27.816008,1.751060,-34.713455
CUBE_1,39.478,-119.999992,0.000000,-21.250309
CUBE_3,39.720,-23.896986,1.751060,-34.713455
CUBE_1,39.727,-119.999992,0.000000,-19.754669
CUBE_3,39.943,-20.344728,1.751060,-34.713455
CUBE_1,39.945,-119.999992,0.000000,-18.449270
CUBE_3,40.163,-16.821440,1.751060,-34.713455
CUBE_1,40.165,-119.999992,0.000000,-17.124580
CUBE_3,40.376,-13.415462,1.751060,-34.713455
CUBE_1,40.378,-119.999992,0.000000,-15.847445
CUBE_3,40.607,-9.718388,1.751060,-34.713455
CUBE_1,40.609,-119.999992,0.000000,-14.464721
CUBE_3,40.822,-6.280056,1.751060,-34.713455
CUBE_1,40.828,-119.999992,0.000000,-13.151001
CUBE_3,41.091,-1.975920,1.751060,-34.713455
CUBE_1,41.093,-119.999992,0.000000,-11.561007
CUBE_3,41.321,1.714290,1.751060,-34.713455
CUBE_1,41.325,-119.999992,0.000000,-10.166170
CUBE_3,41.539,5.198713,1.751060,-34.713455
CUBE_1,41.541,-119.999992,0.000000,-8.870850
CUBE_3,41.787,9.161569,1.751060,-34.713455
CUBE_1,41.789,-119.999992,0.000000,-7.384487
CUBE_3,42.001,12.583510,1.751060,-34.713455
CUBE_1,42.003,-119.999992,0.000000,-6.100783
CUBE_3,42.237,16.369541,1.751060,-34.713455
CUBE_1,42.239,-119.999992,0.000000,-4.681717
CUBE_3,42.450,19.775764,1.751060,-34.713455
CUBE_1,42.452,-119.999992,0.000000,-3.401953
